Home,Away,week,year,week begin,week end
ARI,NO,1,2015,9/10/15,9/16/15
ATL,PHI,1,2015,9/10/15,9/16/15
BUF,IND,1,2015,9/10/15,9/16/15
CHI,GB,1,2015,9/10/15,9/16/15
DAL,NYG,1,2015,9/10/15,9/16/15
DEN,BAL,1,2015,9/10/15,9/16/15
HOU,KC,1,2015,9/10/15,9/16/15
JAC,CAR,1,2015,9/10/15,9/16/15
STL,SEA,1,2015,9/10/15,9/16/15
NE,PIT,1,2015,9/10/15,9/16/15
NYJ,CLE,1,2015,9/10/15,9/16/15
OAK,CIN,1,2015,9/10/15,9/16/15
SD,DET,1,2015,9/10/15,9/16/15
SF,MIN,1,2015,9/10/15,9/16/15
TB,TEN,1,2015,9/10/15,9/16/15
WAS,MIA,1,2015,9/10/15,9/16/15
BUF,NE,2,2015,9/17/15,9/23/15
CAR,HOU,2,2015,9/17/15,9/23/15
CHI,ARI,2,2015,9/17/15,9/23/15
CIN,SD,2,2015,9/17/15,9/23/15
CLE,TEN,2,2015,9/17/15,9/23/15
GB,SEA,2,2015,9/17/15,9/23/15
IND,NYJ,2,2015,9/17/15,9/23/15
JAC,MIA,2,2015,9/17/15,9/23/15
KC,DEN,2,2015,9/17/15,9/23/15
MIN,DET,2,2015,9/17/15,9/23/15
NO,TB,2,2015,9/17/15,9/23/15
NYG,ATL,2,2015,9/17/15,9/23/15
OAK,BAL,2,2015,9/17/15,9/23/15
PHI,DAL,2,2015,9/17/15,9/23/15
PIT,SF,2,2015,9/17/15,9/23/15
WAS,STL,2,2015,9/17/15,9/23/15
ARI,SF,3,2015,9/24/15,9/30/15
BAL,CIN,3,2015,9/24/15,9/30/15
CAR,NO,3,2015,9/24/15,9/30/15
CLE,OAK,3,2015,9/24/15,9/30/15
DAL,ATL,3,2015,9/24/15,9/30/15
DET,DEN,3,2015,9/24/15,9/30/15
GB,KC,3,2015,9/24/15,9/30/15
HOU,TB,3,2015,9/24/15,9/30/15
STL,PIT,3,2015,9/24/15,9/30/15
MIA,BUF,3,2015,9/24/15,9/30/15
MIN,SD,3,2015,9/24/15,9/30/15
NE,JAC,3,2015,9/24/15,9/30/15
NYG,WAS,3,2015,9/24/15,9/30/15
NYJ,PHI,3,2015,9/24/15,9/30/15
SEA,CHI,3,2015,9/24/15,9/30/15
TEN,IND,3,2015,9/24/15,9/30/15
ARI,STL,4,2015,10/1/15,10/7/15
ATL,HOU,4,2015,10/1/15,10/7/15
BUF,NYG,4,2015,10/1/15,10/7/15
CHI,OAK,4,2015,10/1/15,10/7/15
CIN,KC,4,2015,10/1/15,10/7/15
DEN,MIN,4,2015,10/1/15,10/7/15
IND,JAC,4,2015,10/1/15,10/7/15
MIA,NYJ,4,2015,10/1/15,10/7/15
NE,BYE,4,2015,10/1/15,10/7/15
NO,DAL,4,2015,10/1/15,10/7/15
PIT,BAL,4,2015,10/1/15,10/7/15
SD,CLE,4,2015,10/1/15,10/7/15
SEA,DET,4,2015,10/1/15,10/7/15
SF,GB,4,2015,10/1/15,10/7/15
TB,CAR,4,2015,10/1/15,10/7/15
TEN,BYE,4,2015,10/1/15,10/7/15
WAS,PHI,4,2015,10/1/15,10/7/15
ATL,WAS,5,2015,10/8/15,10/14/15
BAL,CLE,5,2015,10/8/15,10/14/15
CAR,BYE,5,2015,10/8/15,10/14/15
CIN,SEA,5,2015,10/8/15,10/14/15
DAL,NE,5,2015,10/8/15,10/14/15
DET,ARI,5,2015,10/8/15,10/14/15
GB,STL,5,2015,10/8/15,10/14/15
HOU,IND,5,2015,10/8/15,10/14/15
KC,CHI,5,2015,10/8/15,10/14/15
MIA,BYE,5,2015,10/8/15,10/14/15
MIN,BYE,5,2015,10/8/15,10/14/15
NYG,SF,5,2015,10/8/15,10/14/15
NYJ,BYE,5,2015,10/8/15,10/14/15
OAK,DEN,5,2015,10/8/15,10/14/15
PHI,NO,5,2015,10/8/15,10/14/15
SD,PIT,5,2015,10/8/15,10/14/15
TB,JAC,5,2015,10/8/15,10/14/15
TEN,BUF,5,2015,10/8/15,10/14/15
BUF,CIN,6,2015,10/15/15,10/21/15
CLE,DEN,6,2015,10/15/15,10/21/15
DAL,BYE,6,2015,10/15/15,10/21/15
DET,CHI,6,2015,10/15/15,10/21/15
GB,SD,6,2015,10/15/15,10/21/15
IND,NE,6,2015,10/15/15,10/21/15
JAC,HOU,6,2015,10/15/15,10/21/15
STL,BYE,6,2015,10/15/15,10/21/15
MIN,KC,6,2015,10/15/15,10/21/15
NO,ATL,6,2015,10/15/15,10/21/15
NYJ,WAS,6,2015,10/15/15,10/21/15
OAK,BYE,6,2015,10/15/15,10/21/15
PHI,NYG,6,2015,10/15/15,10/21/15
PIT,ARI,6,2015,10/15/15,10/21/15
SEA,CAR,6,2015,10/15/15,10/21/15
SF,BAL,6,2015,10/15/15,10/21/15
TB,BYE,6,2015,10/15/15,10/21/15
TEN,MIA,6,2015,10/15/15,10/21/15
ARI,BAL,7,2015,10/22/15,10/28/15
CAR,PHI,7,2015,10/22/15,10/28/15
CHI,BYE,7,2015,10/22/15,10/28/15
CIN,BYE,7,2015,10/22/15,10/28/15
DEN,BYE,7,2015,10/22/15,10/28/15
DET,MIN,7,2015,10/22/15,10/28/15
GB,BYE,7,2015,10/22/15,10/28/15
IND,NO,7,2015,10/22/15,10/28/15
JAC,BUF,7,2015,10/22/15,10/28/15
KC,PIT,7,2015,10/22/15,10/28/15
STL,CLE,7,2015,10/22/15,10/28/15
MIA,HOU,7,2015,10/22/15,10/28/15
NE,NYJ,7,2015,10/22/15,10/28/15
NYG,DAL,7,2015,10/22/15,10/28/15
SD,OAK,7,2015,10/22/15,10/28/15
SF,SEA,7,2015,10/22/15,10/28/15
TEN,ATL,7,2015,10/22/15,10/28/15
WAS,TB,7,2015,10/22/15,10/28/15
ATL,TB,8,2015,10/29/15,11/4/15
BAL,SD,8,2015,10/29/15,11/4/15
BUF,BYE,8,2015,10/29/15,11/4/15
CAR,IND,8,2015,10/29/15,11/4/15
CHI,MIN,8,2015,10/29/15,11/4/15
CLE,ARI,8,2015,10/29/15,11/4/15
DAL,SEA,8,2015,10/29/15,11/4/15
DEN,GB,8,2015,10/29/15,11/4/15
HOU,TEN,8,2015,10/29/15,11/4/15
JAC,BYE,8,2015,10/29/15,11/4/15
KC,DET,8,2015,10/29/15,11/4/15
STL,SF,8,2015,10/29/15,11/4/15
NE,MIA,8,2015,10/29/15,11/4/15
NO,NYG,8,2015,10/29/15,11/4/15
OAK,NYJ,8,2015,10/29/15,11/4/15
PHI,BYE,8,2015,10/29/15,11/4/15
PIT,CIN,8,2015,10/29/15,11/4/15
WAS,BYE,8,2015,10/29/15,11/4/15
ARI,BYE,9,2015,11/5/15,11/11/15
BAL,BYE,9,2015,11/5/15,11/11/15
BUF,MIA,9,2015,11/5/15,11/11/15
CAR,GB,9,2015,11/5/15,11/11/15
CIN,CLE,9,2015,11/5/15,11/11/15
DAL,PHI,9,2015,11/5/15,11/11/15
DET,BYE,9,2015,11/5/15,11/11/15
HOU,BYE,9,2015,11/5/15,11/11/15
IND,DEN,9,2015,11/5/15,11/11/15
KC,BYE,9,2015,11/5/15,11/11/15
MIN,STL,9,2015,11/5/15,11/11/15
NE,WAS,9,2015,11/5/15,11/11/15
NO,TEN,9,2015,11/5/15,11/11/15
NYJ,JAC,9,2015,11/5/15,11/11/15
PIT,OAK,9,2015,11/5/15,11/11/15
SD,CHI,9,2015,11/5/15,11/11/15
SEA,BYE,9,2015,11/5/15,11/11/15
SF,ATL,9,2015,11/5/15,11/11/15
TB,NYG,9,2015,11/5/15,11/11/15
ATL,BYE,10,2015,11/12/15,11/18/15
BAL,JAC,10,2015,11/12/15,11/18/15
CIN,HOU,10,2015,11/12/15,11/18/15
DEN,KC,10,2015,11/12/15,11/18/15
GB,DET,10,2015,11/12/15,11/18/15
IND,BYE,10,2015,11/12/15,11/18/15
STL,CHI,10,2015,11/12/15,11/18/15
NYG,NE,10,2015,11/12/15,11/18/15
NYJ,BUF,10,2015,11/12/15,11/18/15
